날짜,명칭,휴일여부,비고
20200101,1월1일,Y,
20200124,설날,Y,
20200125,설날,Y,
20200126,설날,Y,
20200127,설날,Y,
20200301,삼일절,Y,
20200415,제21대 국회의원선거,Y,
20200430,부처님오신날,Y,
20200505,어린이날,Y,
20200606,현충일,Y,
20200717,제헌절,N,"국경일이지만, 관공서의 공휴일이 아님."
20200815,광복절,Y,
20200817,임시공휴일,Y,
20200930,추석,Y,
20201001,추석,Y,
20201002,추석,Y,
20201003,개천절,Y,
20201009,한글날,Y,
20201225,기독탄신일,Y,
20210101,1월1일,Y,
20210211,설날,Y,
20210212,설날,Y,
20210213,설날,Y,
20210301,삼일절,Y,
20210505,어린이날,Y,
20210519,부처님오신날,Y,
20210606,현충일,Y,
20210717,제헌절,N,국경일이지만 공휴일 아님
20210815,광복절,Y,
20210816,대체공휴일,Y,
20210920,추석,Y,
20210921,추석,Y,
20210922,추석,Y,
20211003,개천절,Y,
20211004,대체공휴일,Y,
20211009,한글날,Y,
20211011,대체공휴일,Y,
20211225,기독탄신일,Y,
20220101,1월1일,Y,
20220131,설날,Y,
20220201,설날,Y,
20220202,설날,Y,
20220301,삼일절,Y,
20220309,대통령선거일,Y,
20220505,어린이날,Y,
20220508,부처님오신날,Y,
20220601,전국동시지방선거,Y,
20220606,현충일,Y,
20220717,제헌절,N,국경일이지만 공휴일 아님
20220815,광복절,Y,
20220909,추석,Y,
20220910,추석,Y,
20220911,추석,Y,
20220912,대체공휴일,Y,
20221003,개천절,Y,
20221009,한글날,Y,
20221010,대체공휴일,Y,
20221225,기독탄신일,Y,
20230101,1월1일,Y,
20230121,설날,Y,
20230122,설날,Y,
20230123,설날,Y,
20230124,대체공휴일,Y,
20230301,삼일절,Y,
20230505,어린이날,Y,
20230527,부처님오신날,Y,
20230606,현충일,Y,
20230717,제헌절,N,국경일이지만 공휴일 아님
20230815,광복절,Y,
20230928,추석,Y,
20230929,추석,Y,
20230930,추석,Y,
20231003,개천절,Y,
20231009,한글날,Y,
20231225,기독탄신일,Y,
20240101,1월1일,Y,
20240209,설날,Y,
20240210,설날,Y,
20240211,설날,Y,
20240212,대체공휴일(설날),Y,
20240301,삼일절,Y,
20240410,국회의원선거,Y,
20240505,어린이날,Y,
20240506,대체공휴일(어린이날),Y,
20240515,부처님오신날,Y,
20240606,현충일,Y,
20240717,제헌절,N,
20240815,광복절,Y,
20240916,추석,Y,
20240917,추석,Y,
20240918,추석,Y,
20241003,개천절,Y,
20241009,한글날,Y,
20241225,기독탄신일,Y,
