입국자국가,국가코드,입국연월,입국자 수
중국,112,202101,7346
중국,112,202102,11982
중국,112,202103,18980
중국,112,202104,16830
중국,112,202105,14221
중국,112,202106,12942
중국,112,202107,13469
중국,112,202108,17103
중국,112,202109,19144
중국,112,202110,14035
중국,112,202111,12472
중국,112,202112,11691
중국,112,202201,9489
중국,112,202202,16752
중국,112,202203,14726
중국,112,202204,10230
중국,112,202205,11253
중국,112,202206,12741
중국,112,202207,17907
중국,112,202208,30248
중국,112,202209,29531
중국,112,202210,22940
중국,112,202211,24174
중국,112,202212,27367
