매장번호,매장명,매장주소,24시간서비스,연락처
540,마산삼계롯데마트,"
경상남도 창원시 마산회원구 내서읍 경남대로 927, 1층 
",NO,055-713-7577
538,수원정자,"
경기 수원시 장안구 정자천로 173번길 11-7, 101호 일부, 102호(정자동) 
",NO,031-271-3161
537,평택동삭,"
경기도 평택시 지제동삭2로 181-40 
",NO,031-647-9678
536,경기광주경안,"
경기도 광주시 중앙로 83 1F 
",NO,031-797-7242
535,군산롯데몰,"
전라북도 군산시 조촌로 130 
",NO,063-466-9711
534,제주노형,"
제주특별자치도 제주시 1100로 3347 세기트라이빌딩 1층 
",NO,064-749-7739
533,신대방삼거리,"
서울시 동작구 상도동 348-170 
",NO,02-6085-0029
532,대치,"
서울시 강남구 도곡로 447 
",NO,02-562-8882
531,원주무실,"
강원도 원주시 능라동길 61, 정한타워 111호~112호 
",NO,033-745-1509
530,순천신대,"
전라남도 순천시 해룡면 향매로 79 
",NO,061-726-0905
529,서강대,"
서울특별시 마포구 백범로 21 
",NO,02-711-7007
528,울산언양,"
울산광역시 울주군 언양읍 읍성로 38, 1층 
",NO,052-264-2082
527,남양주법조타운,"
경기 남양주시 다산동  6169 다산메인타워 109, 110, 111호 
",NO,031-564-3335
526,증미역,"
서울시 강서구 등촌동 631-5 1층 
",NO,02-2013-5678
525,대구동대구,"
대구광역시 동구 신천동 386-3 
",NO,053-742-0242
524,삼전역,"
서울시 송파구 백제고분로 197, 1층 101호 
",NO,02-425-5141
523,대전반석,"
대전광역시 유성구 북유성대로 303, 101~102호/104호 
",NO,042-825-0605
522,하남시청역,"
경기도 하남시 신평로 65 
",NO,031-794-2022
521,과천중앙,"
경기도 과천시 별양상가 3로 14 
",NO,02-504-3140
520,청량리역사,"
서울특별시 동대문구 왕산로 214 
",NO,02-3707-1367
519,안성공도,"
경기도 안성시 공도읍 공도로 93 
",NO,031-657-2716
518,고양도래울,"
경기도 고양시 덕양구 삼원로 83, 108,109호 원흥동 광양프런티어밸리 6차
",NO,031-962-2392
517,울산유곡,"
울산광역시 중구 종가3길 23, 1층 
",NO,052-245-9138
516,청주오창,"
충청북도 청주시 청원구 오창읍 중심상업로 30, 106~107호 
",NO,043-218-6667
515,파주야당역,"
경기도 파주시 경의로 1080, 102호 
",NO,031-949-9312
514,전주혁신,"
전라북도 전주시 덕진구 안전로148 
",NO,063-222-5700
513,구미시청,"
경상북도 구미시 송정동 28-6 
",NO,054-444-7999
512,구미산동,"
경상북도 구미시 산동읍 신당1로 58, 104호 105호 
",NO,054-471-8300
511,세종아름,"
세종특별자치시 아름동 1329, 111호~112호 
",NO,044-863-1384
510,사당역,"
서울시 서초구 동작대로 24 
",NO,02-6941-0386
509,양재역,"
서울시 서초구 남부순환로 2606, 1층 
",NO,02-579-5227
508,세종새롬,"
세종특별자치시 새롬중앙로 62-15, 해피라움W 102, 103호 
",NO,044-998-8888
507,대구태전,"
대구시 북구 칠곡 중앙대로 332 
",NO,053-325-3024
506,신도림,"
서울시 구로구 경인로 661, 1층 101호 
",NO,02-2068-0269
505,남양주호평,"
경기도 남양주시 호평로 48 
",NO,070-7680-9000
504,수락산역,"
서울특별시 노원구 동일로 1669 
",NO,02-2135-2535
503,용인흥덕,"
경기 용인시 기흥구 흥덕2로87번길 18 
",NO,031-215-3235
502,익산영등,"
전북 익산시 무왕로 1074 
",NO,063-833-3522
501,울산병영,"
울산광역시 중구 번영로 567, 1층 
",NO,052-271-9988
500,고려대,"
서울 성북구 고려대로 24길 20 
",NO,02-926-1269
499,경산사동,"
경북 경산시 백자로 71, 102호 
",NO,053-268-1515
498,제주공항,"
제주시 월성로4길 80 
",NO,064-713-1129
497,시흥능곡역,"
경기 시흥시 능곡번영길 26 (에스피타워/101, 102호) 
",NO,031-311-6194
496,대구죽전,"
대구광역시 달서구 와룡로 123 
",NO,053-524-7770
495,가락시장,"
서울시 송파구 중대로 109 (대동빌딩 1층) 
",NO,02-6285-6110
494,의정부용현,"
경기도 의정부시 충의로 83 
",NO,031-853-8244
493,부산기장메가마트,"
부산광역시 기장군 일광읍 기장대로 673, 메가마트 1층 
",NO,051-724-7750
492,전주전북대,"
전라북도 전주시 덕진구 명륜4길12 
",NO,063-255-1154
491,대구범어,"
대구광역시 수성구 동대구로 389 
",NO,070-4135-7070
490,망원한강공원,"
서울 마포구 마포나루길 407 
",NO,02-332-6612
489,익산모현,"
전라북도 익산시 선화로77 
",NO,063-841-1211
488,홍성,"
충남 홍성군 홍성읍 대교리 69-2 
",NO,041-631-1013
487,인천갈산,"
인천시 부평구 주부토로 236(인천테크노밸리)u1/154,155호 
",NO,032-209-1883
486,광주일곡,"
광주광역시 북구 설죽로 518-4 
",NO,062-575-6002
485,인천동암,"
인천광역시 부평구 열우물로 45 
",NO,032-421-6690
484,대전복합터미널,"
대전광역시 동구 동서대로 1695번길 16 
",NO,042-622-6660
483,군포AK플라자금정,"
경기 군포시 엘에스로 143(금정동) (233호, 234호) 
",NO,031-427-5476
482,남양주별내,"
경기도 남양주시 별내중앙로 26 103,104호(별내동) 
",NO,031-571-1105
481,청주분평,"
충북 청주시 서원구 분평동 568번지 
",NO,043-283-2139
480,인천성모병원,"
인천광역시 부평구 동수로 49, 1층 (부평동) 
",NO,032-224-4935
