학년,구분,과목명,학점,필수권장유무
2,전선,C와 리눅스 1,3,필수권장
2,전선,파이썬 고급 프로그래밍,3,필수권장
2,전선,컴퓨터 통신과 네트워크,3,
2,전선,웹 응용 프로그래밍,3,
2,전선,C와 리눅스 2,3,
2,전선,자바 객체지향 프로그래밍 1,3,필수권장
2,전선,데이터 구조와 알고리즘,3,필수권장
2,전선,데이터 분석 프로그래밍,3,필수권장
3,전선,자바 객체지향 프로그래밍 2,3,
3,전선,JSP 서버 프로그래밍,3,
3,전선,운영체제의 원리와 구조,3,
3,전선,딥러닝 기초,3,필수권장
3,전선,데이터베이스 구조,3,
3,전선,데이터 가시화 및 해석,3,
3,전선,모던 C++ 프로그래밍,3,
3,전선,딥러닝 응용,3,
3,전선,사물인터넷 프로그래밍,3,
3,전선,안드로이드 프로그래밍,3,
3,전선,소프트웨어 프로젝트 1 (캡스톤 디자인),3,필수권장
4,전선,빅데이터 시스템,3,
4,전선,머신러닝과 컴퓨터 비전,3,
4,전선,아이폰 프로그래밍,3,
4,전선,소프트웨어 프로젝트2 (캡스톤 디자인),3,필수권장
4,전선,빅데이터 플랫폼 실습,3,
4,전선,딥러닝 플랫폼 실습,3,
